player,type,converted,type,date
vukadinovich,A,0,scrimmage,9/23/2023
black,B,0,scrimmage,9/23/2023
black,F,0,scrimmage,9/23/2023
black,Q,0,scrimmage,9/23/2023
black,G,0,scrimmage,9/23/2023
black,G,0,scrimmage,9/23/2023
black,G,0,scrimmage,9/23/2023
black,B,0,scrimmage,9/23/2023
allen,S,+,scrimmage,9/23/2023
domingue,G,0,scrimmage,9/23/2023
domingue,G,0,scrimmage,9/23/2023
tucker,L,+,scrimmage,9/23/2023
tucker,B,-,scrimmage,9/23/2023
tucker,X,-,scrimmage,9/23/2023
tucker,G,0,scrimmage,9/23/2023
tucker,L,0,scrimmage,9/23/2023
hillman,A,0,scrimmage,9/23/2023
connelly,G,0,scrimmage,9/23/2023
connelly,G,0,scrimmage,9/23/2023
connelly,F,/,scrimmage,9/23/2023
connelly,P,+,scrimmage,9/23/2023
sileo,G,0,scrimmage,9/23/2023
sileo,L,0,scrimmage,9/23/2023
sileo,L,0,scrimmage,9/23/2023
sileo,F,0,scrimmage,9/23/2023
sileo,F,+,scrimmage,9/23/2023
norton,L,0,scrimmage,9/23/2023
norton,G,0,scrimmage,9/23/2023
neleman,G,0,scrimmage,9/23/2023
neleman,G,0,scrimmage,9/23/2023
dennis,G,0,scrimmage,9/23/2023
dennis,G,0,scrimmage,9/23/2023
dennis,G,0,scrimmage,9/23/2023
dennis,G,0,scrimmage,9/23/2023
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
